1등급 단어족	2등급 단어족	3등급 단어족	4등급 단어족
	자료	분담	변모
	자주	분배	변수
	작동	분별	변용
	적극	분산	변인
	전달	분석	병합
	절차	분야	병행
	접수	분열	보류
	접촉	분출	복제
	정교	분포	본연
	정당	분할	봉착
	정보	분해	부각
	정상	붕괴	부수적
	정지	비례	부연
	제도	비약	부응
	제안	비평	부차적
	조건	빅데이터	부합
	조사	사태	분기점
	종료	사후	분절
	주의	삽입	분화
	주장	상관	불가결
	주제	상승	불가피
	준수	상위	불변
	중립	상정	비중
	중복	상징	사료
	중시	상호	사상
	증거	생성	사적
	증명	서술	산출
	지속	서열	상반
	지시	선정	상보
	지식	선진	상부
	지원	선행	상생
	지적	선호	상쇄
	지점	선후	상용
	지정	설계	상응
	지지	설립	상이
	지표	설문	상충
	진출	설정	상층
	집중	성립	상통
	차단	성분	상한선
	참가	성찰	상향
	참여	성취	선결
	창의	성패	선례
	창조	성행	선별
	처리	성향	세분
	체험	세부	소거
	초과	소멸	소모
	총합	소실	소요
	추리	소양	소진
	추측	소외	수렴
	출처	소화	수직적
	충돌	속박	수평적
	충족	속성	숙고
	측정	손상	순기능
	타당	쇠퇴	순환
	타협	수동적	승인
	탁월	수락	시사
	탐구	수반	시스템
	탐색	수신	식별
	토대	수여	실재
	통과	수월	실증
	통일	수축	실질
	통제	수행	실효
	특색	순응	심의
	특성	시초	심층
	특징	시행	악조건
	파괴	신장	안착
	파악	실례	암묵적
	판단	실용	양극단
	판명	실제	양립
	판별	실체	양방향
	판정	실태	양적
	편의	실현	양태
	평가	심화	여과
	평이	아날로그	역기능
	폐기	아이러니	역동적
	폐지	악순환	역류
	포기	악영향	역이용
	포함	악화	역행적
	표본	암시	역효과
	표시	압도	연계
	표준	압력	연역
	표현	압축	예증
	필수	약세	오차
	학습	약화	옹호
	합동	양면	와해
	해결	양상	완비
	해답	양성	완충
	해당	양식	왜곡
	해법	억제	외면적
	해석	엄밀	외재
	해설	엄정	외형적
	핵심	여건	요건
	행위	여부	우발
	향상	여분	우연적
	허가	역량	우호적
	현실	역부족	우회
	현장	역사적	원형
	협동	역설	위계
	협력	역설	위상
	협의	역전	유관
	협조	역점	유도
	형태	연관	유동
	혼동	연립	유보
	혼란	연상	유연
	혼잡	연속	유예
	확고	연쇄	유인
	확실	연장	유전적
	확인	연합	유효
	활동	열거	육성
	활약	영구	융성
	활용	영역	은폐
	효과	예견	응집
	흡수	예비	응축
	희귀	오류	이분법적
	희박	완결	이원
		완료	이중
		완수	이차적
		완화	이행
		외래	인식
		외적	인용
		요소	인위적
		요원	인자
		요인	인접
		요지	일관
		용례	일련
		용이	일례
		용인	일률적
		우려	일방향적
		운용	일원
		원동력	일체
		원리	일탈
		원천	일환
		원칙	임의
		위축	입각
		유념	입증
		유망	입체적
		유발	자각
		유의미	잠재
		유일	잠정적
		유입	재개
		유추	재고
		유출	재발
		유포	쟁점
		유한	저변
		유형	저조
		융합	저지
		음성	저하
		응용	저해
		의거	적정
		의결	전락
		의사	전례
		의식	전면
		의지	전무
		이견	전이
		이론	전형
		이면	절충
		이상적	점유
		이성	점진적
		이송	접목
		이슈	접합
		이의	정량적
		이익	정렬
		이지적	정립
		이질	정비례
		이치	정적
		인공	제고
		인과	조망
		인증	조밀
		인지	조성
		인하다	조율
		일괄	조작
		일반	조합
		일방적	조회
		일시적	존폐
		일절	종속
		일정	종식
		일차적	종적
		일치	주기
		입장	주력
		자립	주시
		자발	주지
		자연적	주축
		자율	중개
		자질	중첩
		자체	중추
		작용	중화
		장려	증감
		장벽	증강
		재래	증설
		재생	증식
		재현	증폭
		저장	지각
		저항	지성
		적대	지양
		적용	지연
		적응	직간접적
		적절	직결
		적합	직시
		전개	진보
		전국적	진위
		전략	진의
		전망	진화
		전문	질적
		전반	집대성
		전송	집적
		전용	착안
		전제	창안
		전진	척도
		전통적	체결
		전파	체제
		전환	촉구
		절감	촉발
		절대	촉진
		점검	총괄
		접근	총칭
		접속	최선책
		정밀	최적
		정비	추산
		정서적	추세
		정수	추이
		정식	추정
		정신적	추출
		정오	축약
		정의	취약
		정점	취합
		정정	층위
		정제	치명적
		정착	치환
		정화	침투
		제거	타개
		제공	타율
		제기	탄력적
		제시	통시적
		제약	통용
		제어	통칭
		제외	퇴보
		제작	퇴화
		제조	파격적
		제출	파급
		제한	파동
		조력	파생
		조장	파장
		조절	파편
		조정	판이
		조종	패러다임
		조직	편재
		조치	편파
		조화	편향
		존속	평면적
		존재	포괄
		종결	포용적
		종합	포착
		주관	표류
		주도	표명
		주류	표방
		주목	표상
		주요	표적
		주입	피드백
		주종	피력
		주체	피상적
		준거	하부
		중계	하위
		중단	하층
		중대	하한선
		중재	하향
		중점	학문적
		중지	학설
		증가	학술
		증대	학제적
		증진	한시적
		지구적	함축
		지리적	할애
		지배	함의
		지수	합류
		지적	합성
		지체	항구적
		지칭	항시적
		지향	현안
		직면	현저
		진단	혼재
		진술	확증
		진입	활성화
		진전	회귀
		진취적	회수
		진행	획기적
		진흥	횡적
		집단적	후천적
		집약	후행
		집합	
		차등	
		차원	
		참고	
		참조	
		창시	
		창출	
		채취	
		채택	
		처분	
		처치	
		천연	
		철회	
		첨가	
		첨단	
		첨부	
		체계	
		초래	
		초석	
		초월	
		초점	
		총체	
		추가	
		추구	
		추락	
		추론	
		추상	
		추적	
		추종	
		추진	
		추후	
		축소	
		축적	
		출현	
		충당	
		충전	
		취급	
		취지	
		치열	
		치중	
		콘텐츠	
		통계적	
		통보	
		통찰	
		통합	
		투사	
		투영	
		특수	
		특유	
		특이	
		특정	
		특질	
		파손	
		파열	
		팽배	
		팽창	
		편성	
		편중	
		편찬	
		평형	
		폐쇄	
		포섭	
		폭발적	
		표면	
		표절	
		표출	
		프로젝트	
		필사적	
		필연	
		하강	
		하락	
		한계	
		한도	
		한정	
		할당	
		함양	
		함유	
		합당	
		합리	
		합산	
		합의	
		해박	
		해소	
		행태	
		향후	
		허용	
		혁신	
		현대적	
		현상	
		현존	
		현황	
		형상	
		형성	
		형식	
		형평	
		호응	
		혼돈	
		혼용	
		혼합	
		확대	
		확률	
		확립	
		확보	
		확산	
		확연	
		확장	
		확정	
		확충	
		환경적	
		회복	
		회피	
		획득	
		획일	
		효능	
		효력	
		효용	
		효율	
		후속	
		희소	
